content,title,,,,,,,,,,,,,,,,
"
                    
                    
                        （原标题：日防卫大臣岸信夫访越时发表攻击中国言论，我驻越使馆阐明立场）
                    
                    
                    据中国驻越南大使馆网�?�?3日消息，中国驻越南使馆就日本防卫大臣岸信夫访越期间发表攻击中国言论表明立场。日本防卫大臣岸信夫日前访问越南期间，肆意发表攻击中国言论，指责中国在钓鱼岛海域“试图以实力改变现状”，污蔑中国实施《海警法》加剧东海、南海紧张局势，并就台湾问题粗暴干涉中国内政，中方对此坚决反对。来而不往非礼也，中国驻越南大使馆严正阐明以下立场，以正视听。第一，中国颁布《海警法》是例行国内立法，不针对特定国家，完全符合国际法和国际实践，事实上包括日本在内的多个国家早就制定实施了类似法规。根据中国国内法和相关国际法规定，中国的管辖海域是明确的，中方的海洋权益主张并未发生改变。中方一贯致力于同南海当事国通过对话协商妥善处理海上分歧，不使用武力或以武力相威胁，同时全面有效落实《南海各方行为宣言》，积极推动制定实质、有效、符合包括《联合国海洋法公约》在内国际法的“南海行为准则”。中国与有关国家完全有能力、有智慧共同维护好南海和平稳定。第二，钓鱼岛及其附属岛屿是中国的固有领土，十九世纪末，被日本通过甲午战争和《马关条约》非法窃取和割占。二战日本战败投降后，根据《开罗宣言》和《波茨坦公告》等国际法律文件，钓鱼岛作为台湾的附属岛屿回归中国。但美日不顾中方坚决反对，非法将其纳入“托管”和“施政”范围，日本企图继续霸占钓鱼岛。中日在实现邦交正常化和缔结《中日和平友好条约》时，双方就搁置争议，将“钓鱼岛问题放一放，留待以后解决”达成谅解和共识，构成了钓鱼岛问题的现状，这也是中方在钓鱼岛问题上长期保持克制，暂未在有关海域行使巡航执法等固有权力的基础和前提。近些年来，日方不断对钓鱼岛采取单方面行动，通过在钓鱼岛海域非法行使“执法权”，实施所谓“国有化”和政要公开表态等，单方面撕毁了中日搁置争议的政治共识，这使得中方长期保持克制的前提不复存在。事实不容置疑，在钓鱼岛海域以实力改变现状的不是中方，而恰恰是日方。日方不要贼喊捉贼，倒打一耙。第三，日本是世界上最没有资格置喙台湾问题的国家。近代以来日本对中国台湾的侵略和对台湾人民的殖民奴役，是日本对外侵略扩张史中永远无法洗刷的历史污点。日本极右政治势力在钓鱼岛和台湾问题上发起的不自量力的挑衅，其实质是对世界热爱和平国家反法西斯战争胜利成果的公然否定，是对以《联合国宪章》为基础的战后国际秩序的公然挑战。日方的肆意妄为只会再次唤起世人对日本那段不光彩历史的记忆。我们奉劝日方不要好了伤疤忘了疼，不要低估中国人民捍卫国家主权和领土完整的坚强决心、坚定意志和强大能力�?                    
                ",日防卫大臣岸信夫访越时发表攻击中国言论，我驻越使馆阐明立�?,,,,,,,,,,,,,,,,
"
                    
                    
                        （原标题�?0年过去了：美国赢了，但拉登也赢了�?                    
                    
                    对美国而言，今天，可以说是20年来最特殊的一�?�?1日了�?0年前的今天，美国遭遇了震动全世界的�?·11”恐怖袭击。一群来自“基地”组织的恐怖分子，劫持了四架美国的民航客机，两架撞向了美国纽约著名的世贸中心，一架撞向了五角大楼，还有一架在宾州坠毁。近3000人在这次的恐怖袭击中死亡。震怒的美国当即对躲藏在阿富汗的“基地”组织、该组织头目本·拉登以及庇护他们的塔利班政权展开了军事报复，由此展开了一场持续了20年的“反恐战争”。可20年后的今天，美国却选择从阿富汗撤军，而且撤得相当狼狈，甚至还�?0年前被自己亲手赶走的塔利班组织重新掌管了阿富汗。所以，在�?·11”袭�?0年后的今天，美国人以及全世界的人们，势必都会提出这样一个问题：美国到底是打赢了那场“反恐战争”，还是输了？美国“赢了”在一些美国人看来，这个问题的答案，是美国赢了——或者，用美国精英们一种更“体面”和“含蓄”的方式来所说，是拉登输了。今�?�?3日，美国智库“新美国基金会”的一位国际安全专家，就在美国《外交事务》杂志上刊登了一篇认为美国赢得了那场始于2001年的“反恐战争”的文章。（截图来自美国《外交事务》杂志的报道）这篇长文先从介绍本·拉登个人开始，给人们展示了这个信仰上极为狂热，但行动上又极为老谋深算的恐怖组织头目，为何会对美国发动袭击、他的出发点是怎样的。这位作者之所以会先从拉登和这些信息上入手，是因为这与他认为美国赢了或拉登输了的结论，密切相关。根据这篇文章的介绍，拉登对于美国的仇恨，乃至他创建“圣战组织”，源于巴勒斯坦人遭到“苦难”。他认为是美国对以色列的不断支持，才让巴勒斯坦人陷入了如此悲惨的命运之中。所以，早在1986年时，他就已经萌生了要在美国本土制造恐怖袭击的想法。而在1996年时，拉登更在一份“圣战宣言”中将他的“圣战”扩大到了世界各地，他以巴勒斯坦人的命运为噱头，宣称全世界还有很多地方的穆斯林，都像巴勒斯坦人那样遭到外国的占领以及各种各样的压迫，并号召穆斯林都起来反抗，尤其是反抗美国和以色列。之后，拉登便开始“说到做到”，他的“基地“组织在1998年发动了针对美国驻肯尼亚和坦桑尼亚大使馆的恐怖袭击，导致200多人死亡�?000多人受伤，又�?000年袭击了美国的”科尔“号导弹驱逐舰，导�?7名美国海军人员死亡。（截图来自美国《外交事务》杂志的报道）但拉登并不满足。美军后来缴获并解密的拉登的私人文件显示，他�?000年那次针对美国军舰的袭击之后，就已经开始谋划一起针对美国本土更大规模的袭击了。这里重点就来了，根据解密出来的文件，拉登当时表示他之所以要发动�?·11”恐怖袭击，是因为他认为整个穆斯林世界都处在美国的霸权统治之下，但他要向穆斯林世界证明美国是个“伪神”，他要打破美国“无敌”的神话。在�?·11”袭击发动后的第二周，拉登还发布了一份简短的声明，内容是他向真主发誓，如果异教徒的军队不从巴勒斯坦和所有穆罕穆德的土地上离开，那么美国和所有生活在那里的人就永远不会安全。（截图来自美国《外交事务》杂志的报道）但在美国《外交事务》杂志的那位作者看来，�?·11”虽然是拉登最“高光”的时刻，但也是他和“基地”组织土崩瓦解的开始，因为这位作者认为，拉登并没想到这场震惊世人的恐怖袭击，会立刻招致美国最猛烈的军事报复，而且在短短几个月的时间里，美国就占领了阿富汗，赶走了庇护拉登的塔利班政权，并开始在阿富汗捕猎“基地”组织的残余。而拉登并没有为这一切，为如何确保他“基地”组织的生存，做好准备。（图为美国外交关系协会整理�?11恐怖袭击后的时间线，可以看到从袭击发生到美国反击再到当时阿富汗塔利班政权的“瓦解”，美国政府和军队只用了三个月的时间，其势头可谓“摧枯拉朽”）接下来，《外交事务》杂志的那篇文章便开始讲述“基地”组织和本·拉登是如何在美国的攻势下土崩瓦解的。这其中既有美国直接的军事打击，也有”基地“组织内部的涣散乃至内卷。比如，美国的军事打击导致拉登和”基地”组织的成员不得不东躲西藏，令他们彼此之间的通讯极为不畅通，一些重要的成员还陆续被美国击毙。另一方面，虽然拉登很想联合世界各地的“基地”组织或被该组织启发的其他宗教极端组织一起“搞大事”，并将焦点继续对准美国，但这些组织却并不希望将领导权交给拉登的人，有些即便与拉登的组织合流了却在忙着搞“内卷”，而且这些恐怖组织也没有拉登的那种“格局”，包括后来“名噪一时”的“伊斯兰国”，他们更感兴趣的是袭击其他教派的穆斯林，波及更多穆斯林平民，而这并不是拉登和老一代的“基地”组织成员希望看到的，因为这会在穆斯林群体中产生“反效果”，给他们的“圣战”事业制造更多敌人。（截图来自美国《外交事务》杂志的报道）《外交事务》杂志的文章还透露，拉登其实原本还想在当年的“阿拉伯之春”运动中掺和一腿，因为在这场浪潮中倒台的北非和阿拉伯国家的所谓独裁者，都是拉登讨厌的“世俗派”。拉登希望他的“基地”组织能收割这些“革命”的果实，让宗教极端势力去指引这些地区“革命”后的政治走向，然而就在他准备�?011�?月就此发声的时候，美军找到了他在巴基斯坦的藏身地，并于当年5�?日将他击毙了。没有了精神支柱，也没有“伊斯兰国”等更为极端的恐怖组织那么“吸引眼球”，“基地”组织从此变得更加的边缘化和分裂，也再没有力量去袭击美国本土。而这在《外交事务》这篇文章看来，这便意味着美国在阿富汗花费的这20年还是取得了胜利的，美国没有被”基地“组织和拉登“打倒”，反而令后者被大大削弱和灭亡了。拉登也赢了但倘若击毙拉登和几个“基地”组织的头目，让该组织被大大“削弱”，就是美国在阿富汗停留长达20年的唯一目的，那么美国为这个目的付出的成本，显然是极为不对称的。（截图来自美国福布斯新闻网的报道）根据美国《华盛顿邮报》和福布斯新闻网等众多美国媒体的计算，在金钱成本方面，美国在阿富汗这20年总共砸下了超�?万亿美元，相当于过去20年的每一天里，美国都在为阿富汗投�?亿美元。人力成本方面则同样惊人：约2500名美军士兵在阿富汗丧生，还有�?000名身为美国平民的承包商死亡。此外，美国还要为照�?万多伤员而承担数千亿，甚至可能近万亿美元的支出。（截图来自美国福布斯新闻网的报道）所以，当你把这些成本都列出来，再去对比击毙了拉登和几个“基地”组织的头目，让“基地”组织这么一个恐怖组织被”大大削弱”的结果，你会发现这美国要么是一个做事情“不惜成本”的强硬大国，要么就是一个蠢到家的败家子。而如果你算上如今美军狼狈撤出阿富汗，还把阿富汗拱手送还�?0年前被自己赶走的塔利班政权等情况，那么你基本上可以肯定，美国就是一个败家子。实际上，一些美国人把美国的“胜利”局限在杀死拉登和削弱“基地”组织上，也反映出了美国对于自己这种愚蠢�?“心虚”。在11年前�?010年，美国《外交事务》杂志曾在另一篇讲述阿富汗战争与美国的文章中称，美国的目的其实不仅仅是报复拉登和“基地”组织，他们原本还希望重建阿富汗这个国家，让该国走上“民主自由”的道路。但早在2010年，美国人就已经发现该目标已经无法实现了。因为美国人发现他们其实根本就不了解阿富汗，这里似乎本就没有一个能有力管理起该国的政权可以扶植，甚至这个国家根本就出现不了这么一个政权，除非不计成本的往这里扔钱。（截图来自《外交事务》杂志的报道）可阿富汗毕竟不是美国的土地，阿富汗人不是美国人，美国这个资本主义国家，连改善自己国家的有色人种所面临的种族主义的问题都做得那么“拉胯”，又怎么会无休止地给一个与自己没什么关系的“失败”国家这么扔钱呢？其他美国媒体对于阿富汗的报道，也透露出了大量美国的绝望情绪，比如美国扶植的阿富汗政府怎么都解决不了的严重腐败问题，导致社会上反而出现了怀念塔利班的情绪；比如阿富汗的政府和军警里有人一直在两边下注，私通塔利班；阿富汗那复杂的教派、部落和社会文化，也搞得美军头晕脑胀。之后的结果，便是美国像许多傲慢的帝国和霸权国家那样，在阿富汗陷入了同一个陷阱：留下，意味着无休止的赔钱，离开，也意味着血亏。在2011年击毙了拉登后，这更成为了美国人不得不面对的一个最核心的问题。（截图来自美国CNBC新闻网的报道）当然，离开终归是能“止损”的。所以，奥巴马，以及后来的特朗普和拜登这三位美国总统，都把从阿富汗撤军作为了他们一个重要的政策目标。可问题是，对于美国这么一个主导着阿富汗局势的庞然大物来说，撤离留下的真空，必然意味着该国重新陷入新的纷争。而且美国的政治体制又是极为“患得患失”的，不论是共和党和民主党，他们的总统在当政的时候都说要尽快撤军，可一旦下野，他们又开始挑出尽快撤军的各种坏处和危险进行政治造势，以打击当政总统的支持度。于是当政者为了进行“党派政治”层面的“止损”，便将撤军一而再再而三地拖延，哪怕这意味着进一步损害美国的国家利益。比如此前一直在宣称要从阿富汗撤军的奥巴马，就在美国2016年这个大选年的前一年变更了政策，先是宣布减缓美军撤离阿富汗的速度，后来干脆在2015�?0月宣布暂缓撤军到2017年。结果，自然是美国还得继续往阿富汗扔钱，哪怕他们早已无心建设这个国家。（图为当时英美媒体对于奥巴马在阿富汗撤军一事上突然政策大转弯的报道）而在2021年的今天，即便拜登顺着特朗普定下的时间点开始完成最终的撤军工作，这位民主党的总统也因为撤军中美军的狼狈和塔利班的迅速回归而遭到了共和党的疯狂批判。可不论是美军的狼狈撤出，还是塔利班的猛烈归来，其实不过是证明了美国对于阿富汗这个国家早已心不在焉，只想赶紧逃出这个泥潭的这个真实心态。这是美国四任总统一同造成的，而不是拜登一人的责任。而这一点，则恰恰能证明拉登“赢了”。他把美国拉入阿富汗这个“帝国坟场”长�?0年，大大损耗了美国已经日趋衰弱的国力，最终用今天美军的狼狈和塔利班的回归，证明了他一直想证明的那个观点，即美国，是一个外强中干的“伪神”。只不过，拉登的这一“胜利”，离不开美国人自己的“助攻”——甚至于拉登对美国“胜利”，与美国对他的“胜利”，在某种程度上来说还是颇为相似的，都离不开狂妄自大、内斗和内卷。美国知名纪录片导演迈克·摩尔最近发表了类似的观点，他在自己的网站上撰文称“最终，是本·拉登赢了”，而且“他的胜利离不开我们的助攻”。只不过摩尔的哀叹不仅仅针对美国在阿富汗浪费的大量人力和金钱，以及如今狼狈的撤军，他的哀叹还指向了美国在过去20年里在其他方面的堕落，比如民粹势力在美国的凶猛崛起，美国社会意识形态的激烈对立等等。俗话说，一个人最大的敌人，往往是自己。对于美国这种国家来说，道理是一样的。打败美国的，从来不是拉登，而是美国自己的过度膨胀的霸权野心。拉登不过是佐证这一公式的一剂催化剂。而像他这样的催化剂，世界上还有很多很多，都在等着证明这个帝国，将如何把自己玩儿垮�?                    
                ",20年过去了：美国赢了，但拉登也赢了 ,,,,,,,,,,,,,,,,
"
                    
                    
